data_container,transcript,quote or transcriber's summary,,,
E.42,But they face problems especially if they go without having any prior contacts at that place,quote,,,
E.42,It will be difficult to find an accommodation; it may be equally difficult to get a job,quote,,,
E.43,Those who return will have to settle down here with whatever opportunities are available here,quote,,,
E.43,If they have returned with money then they can start a business else they will have to do farming,quote,,,
E.43,They will have to do whatever work they can find here,quote,,,
E.43,If he has returned with savings then his folks will be happy and will encourage him to start a business,quote,,,
E.44,Girls get married at 18-19 and boys at 22-25,quote,,,
E.44,There is no polygamy in our village,quote,,,
E.45,Our parents/guardians take marriage related decisions,quote,,,
E.45,If someone has a love marriage he is thrown out of the community,quote,,,
E.46,Our parents are more experienced and they should take such decisions,quote,,,
E.46,But there is no harm in asking us since we are the ones who will marry,quote,,,
E.47,In our village women become mothers after 20,quote,,,
E.48,"Yes, this is the right age",quote,,,
E.48,If they are old enough to marry at 18-19 then they are physically and mentally mature enough to have a baby at 20,quote,,,
E.48,If you delay having a baby then people start talking and call you infertile ,quote,,,
E.49,20 is the right age for a woman to have her first baby,quote,,,
E.50,Women discuss and give their opinion on these matters,quote,,,
E.50,But they cannot take final decision,quote,,,
E.51,We should all have government job; life would be good then,quote,,,
E.51,"We should all have good jobs, whether in government or private, and we should all have opportunities and facilities to prosper",quote,,,
E.51,We should all study well and progress in life,quote,,,
E.51,We don’t want to do farming since it is very demanding and there are no returns; farming would be our last option and only if there was nothing else for us to do,quote,,,
E.51,We make the society which will develop and prosper only if we do well,quote,,,
