data_container,transcript,quote or transcriber's summary
E.36,R.2. the decisions comes unilaterally from the husband and wife has to agree to whatever he has decided.,quote
E.36,R.8. men have the power to buy and sell and women have no clue whatsoever.,quote
E.36,R.5=This is against the set norms of the community.,quote
E.37    ,Very easy …………………….….…1(2)Easy………………………………..….2 (4)Neither easy nor difficult…… 3 (1)Difficult ………………………………4Very difficult……………………….5,Transcriber’s summary
E.37    ,"Very easy (2), Easy (4), Niether easy nor difficult (1)",Transcriber’s summary
E.37    ,R.2= It is a matter of mutual understanding .,quote
E.37    ,R5. A women will never go against her husband decision of purchasing the motor-bike.,quote
E.37    ,R.8 can purchase for job purpose,quote
E.37    ,"R.1 If the husband can manage, he can purchase",quote
E.37    ,"R.3 Yes, husband can purchase; her husband will not stand against it.",quote
E.37    ,R.4 Wife can help her husband; she will never disturb her home affairs,quote
E.38    ,"R.3. I have never seen that a women from village walk in the market. However, in the presence of any male member of the home and properly covered she can comfortably walk.",quote
E.39   ,"R.6=  She will not come out alone, only with a male person to accompany her. No other such problem.",quote
E.40    ,R.1= Very difficult .,quote
E.40    ,R.2. there is no market for the women.,quote
E.40    ,R.8. Women are not allowed to go and sell in the market.,quote
E.40    ,"R.3 We all works relating to market by ourselves (men) and not through our women. Woman is the respect and pride of the man, and shall keep that honor with.",quote
E.41    ,The same response,Transcriber’s summary
E.41    ,Practically no women move freely on their own in the village 1 2 3 4 5 6 7 8 9 10 Practically all women move freely on their own in the village 6 2  ,Transcriber’s summary
E.42    ,They move to other cities for jobs when there is no job opportunities here in village or according to his qualifications.,quote
E.42    ,R.4. yes they will move in order to earn more money so as to sustain the family.,quote
E.42    ,R.5. they mostly move for finding a better option.,quote
E.42    ,R.7. those who don’t like farming would also venture to find a better job..,quote
E.42    ,R.2= They have their family to move for job other cities or abroad,quote
E.42    ,"R.7=  If parents allow them , they have no problem",quote
E.43    ,People admire him because he is working hard and those who have money are otherwise respected.,quote
E.43    ,People respect him because he migrated because of his family to support him.,quote
E.43    ,It depend if he is educated he has more opportunity and if he is not then he can do only labore work.,quote
E.43    ,Yes they have more opportunities.,quote
E.44    ,Man at the age of 20. Girls in age of 18 or  17.,quote
E.45    ,"Our elders. our parents. Usually, they select the family or girl and then discuss with boy. When the boy agrees so the family would go to the girls’ family to ask the hand for their son. Usually, the approval usually is not sought from woman or girls.",quote
E.46    ,R.4=   parents needs to arrange his marriage according to his will and the boy shall be given freedom to decide on his own.,quote
E.46    ,R.6=  Consultation with son is must for parents before decision,quote
E.46    ,R.3= It is the Sunnah (according to Islamic Sharia) a going to be husband and wife for their consent.,quote
E.46    ,"R.1 = Whatever their parents think best for their children, should take step accordingly  ",quote
E.46    ,"R.2= It is Islamic principles to ask both sex about their preference, so to avoid any possible serious misunderstanding in future life.",quote
E.47    ,R.2=  At the age of nineteen years should have first child.,quote
E.47    ,R 7. Shall give some gap between the children.,quote
E.48    ,"R.1= Yes, this is the best age for first child.",quote
E.48    ,R5= I think this should be 22 instead of 19 years,quote
E.49    ,R.1 = I think twenty years is the best age for first baby,quote
E.49    ,"R.2= Yes, this is the best age",quote
E.50    ,"R.1= Yes, they can decide have the liberty to decide.",quote
E.50    ,"R.2= No, they mostly have restriction and are not allowed to do so.",quote
E.50    ,R.5=  This is correct otherwise their relation will remain disturb,quote
E.50    ,R.7= This restriction is mostly on girl’s parents as there is tradition to marry girl in early age. They do not want that their girl have baby in this early age,quote
E.51    ,R.1= the boys shall have access different technical education.,quote
E.51    ,R.5= the boys shall be engaged in sport activities as the sport bring a positive change in the personality.,quote
E.51    ,R.4= Provision of the Employment opportunities by the government.,quote
E.51    ,R.3= Need for establishing vocational centers.,quote
