data_container,transcript,quote or transcriber's summary
E.37,Very Easy  2Easy 7Neither Easy nor difficult 0Difficult 0Very Difficult 0,Transcriber’s summary
E.37,He is the boss in the house and so can do whatever he wants,quote
E.37,It is his father’s money and so his wife has no right whatsoever to advise him on how he should spend it,quote
E.37,In any case all such decisions are taken by men and women have hardly any role to play except perhaps voice their opinion,quote
E.38,No she cannot for security reasons,quote
E.38,There is too much eve teasing and our parents would rather we stayed at home,quote
E.38,Married women are also not allowed to go out by their husbands,quote
E.38,We have to be accompanied by some male member from our family if we want go anywhere,quote
E.39,Even after marriage she doesn’t get much freedom in movement; her husband will take her out but she cannot go alone,quote
E.39,Men will not spare her and may eve tease her too,quote
E.39,But women who have grown up kids have far more freedom to move around in the village,quote
E.40,Very hard. Women usually don’t go to the market alone to buy; so how can they go and sell?,quote
E.40,The men around her will make her feel miserable,quote
E.40,Her husband will never let her go; he is there to care of all outside work,quote
E.41,Practically no women move freely on their own in the village   1 2 3 4 5 6 7 8 9 10 Practically all women move freely on their own in the village  Responses 0 6 3 0 0 0 0 0 0 0 ,Transcriber’s summary
E.42,A woman migrates only when she gets married.,quote
E.42,Girls live under a lot of restrictions to save our “pride” and the pride of the family.,quote
E.43,No girl/woman has migrated for work,quote
E.44,Women normally get married at 18 and men at 21-22,quote
E.45,Marriages are arranged by parents,quote
E.45,When parents see that their daughter has learnt to do all household work then they get her married,quote
E.45,Parents usually want to find a wise groom who is earning enough to be able to support their daughter independently,quote
E.45,No one thinks of marrying twice; only widows do that,quote
E.45,Only 1 in 100 women can think of remarrying,quote
E.45,But we are hardly consulted on issues related to our marriage,quote
E.45,Love marriages (marrying partners of our choice) are social taboo,quote
E.46,We should be asked if we are ready to be married,quote
E.46,We should also be told about prospective grooms and we should have te right to choose our life partner,quote
E.46,"Marriage is for keeps, a lifetime decision and we should have some say in it",quote
E.46,We are not saying that arranged marriages are not good; simply that we be allowed to have our say,quote
E.46,There have been instances when some boy has refused to marry a girl; so if he has this choice then why don’t we,quote
E.47,Women usually have their first child by 20.,quote
E.48,"No, women have to first settle down their marriage and be comfortable in the role of wife, daughter-in-law etc before they get into this new and very crucial role of a mother",quote
E.48,Their bodies also need to be mature enough to carry anther life within them,quote
E.48,So many women die during childbirth because they body was not ready,quote
E.49,A woman should have her first child at 23-24.,quote
E.50,A woman generally thinks about having a child within the first year of marriage,quote
E.50,She also thinks about how many children she wants,quote
E.50,If man wants a child but his wife is not ready then she can tell him,quote
E.51,We want to see a change in the education system here and girls should be allowed to study as much they want,quote
E.51,We don’t want to marry before 20 and we wish our parents would ask us,quote
E.51,We want our village to develop and become better,quote
E.51,We want more communal harmony; educated people don’t fight but the illiterates are always bickering and heckling,quote
,,
